id,collection,dc.identifier.vol[en],dc.identifier.iss[en]
21394248-4bcd-4cde-aba6-93ec0f01d9f4,2164/706||2164/664||2164/678||2164/321,,
0010671b-4583-48fc-833c-994bee493d84,2164/706||2164/678||2164/321,,
00db97f3-0f40-4a1e-ae26-269e7e53d639,2164/706||2164/678||2164/321,,
01313dbf-c1f6-4476-b214-a42bb1489b35,2164/706||2164/678||2164/321,,
01af9a60-e81f-4ecc-924e-42915abfdb88,2164/706||2164/678||2164/321,,
01d2ad13-d6d3-4640-9b8c-1340019fe0d4,2164/706||2164/672||2164/678||2164/321,,
02190f31-a898-44a4-a829-c3e0431b451d,2164/706||2164/678||2164/670||2164/321,,
0268c8a0-fcaa-4e6e-a4f1-13c6c802b33b,2164/706||2164/678||2164/321,,
02ad8fa5-d251-4f91-8918-cf6e82068e54,2164/706||2164/678||2164/321,,
032bbd4d-dc0b-435e-8626-e078bb5e3ec1,2164/706||2164/678||2164/321,,
0343f7a8-9619-491b-8281-1fdfe63a5fec,2164/706||2164/678||2164/321,,
0396bcb7-f4e1-4207-8344-94a3dc8ed257,2164/706||2164/678||2164/321,,
04a1320e-0a1f-49e3-99a2-1873b91967fb,2164/706||2164/678||2164/321,,
04b9cb33-d219-449b-80cb-6c94f0cf6d11,2164/706||2164/678||2164/321,,
05bf5921-f919-4352-ba5c-dd7b5a9b8adf,2164/706||2164/678||2164/321,,
05deb23b-0763-489c-a6f5-ebc7c24f1b72,2164/706||2164/678||2164/321,,
0632928f-a638-45f5-9f11-3a10b5b8cefb,2164/706||2164/678||2164/321,,
0661e166-f72b-4c96-b64e-817eba011c1b,2164/706||2164/678||2164/321,,
0673083b-cb10-4f0d-b0a1-0162d9a81671,2164/706||2164/672||2164/678||2164/321,,
06c1048d-5cad-4f99-a6f3-98335c1e0f24,2164/706||2164/678||2164/321,,
06f238e8-fd4b-477e-99e0-8a12dd4a052f,2164/706||2164/678||2164/321,,
07d1bbfe-f327-4bfa-a4f1-3ff9590cda02,2164/706||2164/678||2164/321,,
088d7591-0c61-42d9-8587-7bb9c3c9c574,2164/706||2164/678||2164/321,,
08b118b7-7649-4e96-ae3e-988c2760b106,2164/706||2164/678||2164/321,,
08c55827-f4ae-4a4b-86c3-000ff878e863,2164/706||2164/678||2164/321,,
09660228-a480-4508-b200-7e27fa0e948b,2164/706||2164/674||2164/678||2164/321,,
0a916618-c098-41ea-99fa-5970d90035dd,2164/706||2164/678||2164/321,,
0a967c15-82a4-40e8-aec0-e35a87d3f10e,2164/706||2164/678||2164/321,,
0b25b84a-1a78-4387-ba7c-19fd125f1681,2164/706||2164/678||2164/321,,
0bc21c1e-42a7-43ea-b24e-96493923f740,2164/706||2164/678||2164/321,,
0c11d48a-7298-429e-84e2-4e335a65cde0,2164/706||2164/678||2164/321,,
0c367bd4-2c28-4ebb-bacc-76c4313674d2,2164/706||2164/678||2164/321,,
0c40f698-1475-406b-a4bf-fbb31a2ab65b,2164/706||2164/678||2164/321,,
0c9fd5b0-3637-42f8-a19b-e54b8ac0eca2,2164/706||2164/678||2164/321,,
0cc107b3-6461-4d3f-9ddb-f4b07e14c25c,2164/706||2164/678||2164/321,,
0cf021c2-0c69-48b2-92c9-c32422286368,2164/706||2164/678||2164/321,,
0cf4321d-3358-406c-82dc-6a71b7583d5c,2164/706||2164/678||2164/321,,
0d3db9cf-c917-43db-8078-0e42e31dd34d,2164/706||2164/678||2164/321,,
0e0f779e-d3f0-43a6-9418-bdc68401858e,2164/706||2164/678||2164/321,,
0ebb8ac0-da91-49be-8785-370cf625a35d,2164/706||2164/678||2164/321,,
0f97cccc-fb1e-43cf-92c8-485252d6cdfc,2164/706||2164/678||2164/321,,
101367ea-5e17-4693-a212-58857057a93d,2164/706||2164/678||2164/321,,
10a35d58-460d-4c01-bdf4-5b1b95c8f34d,2164/706||2164/678||2164/321,,
10a7cf33-0c55-4395-8106-07abb4be6ce1,2164/706||2164/678||2164/321,,
11a5ce03-2ce7-4259-b988-f9972d34503a,2164/706||2164/635||2164/619||2164/678||2164/321,,
120dd833-294c-4a97-b6f9-55672925056d,2164/706||2164/678||2164/321,,
121b1768-1829-40f5-a674-692464a10c56,2164/706||2164/678||2164/321,,
1274795f-ee57-42a7-b667-ac49692fbf35,2164/706||2164/678||2164/321,,
128a89de-7147-413d-a4f5-cdf4a4b18f77,2164/706||2164/678||2164/321,,
131c4aff-0a6a-4ffd-98f1-42ef1e841e06,2164/706||2164/678||2164/321,,
13d07f71-d399-48d2-bbb1-1dc31d128c3c,2164/706||2164/619||2164/678||2164/321,,
14518e4c-e43f-4bfd-93fd-c192b42907ee,2164/706||2164/678||2164/321,,
1645247f-8a50-451f-857e-dde6892d6029,2164/706||2164/678||2164/670||2164/321,,
1713e7e3-a18f-482e-9aab-8a1652a5b455,2164/706||2164/678||2164/321,,
17224376-1f1e-4b19-a4b6-0cdb26301017,2164/706||2164/678||2164/321,,
179e85a2-04b6-4e33-bc88-9497693391e3,2164/706||2164/678||2164/321,,
182112f9-c224-40fd-98e1-a3d0b7d28002,2164/706||2164/678||2164/321,,
1873307d-0512-4067-b74a-9508b47a160c,2164/706||2164/678||2164/321,,
195cc3ab-5a6e-4c92-aba9-f57ae50bf86c,2164/706||2164/678||2164/321,,
19e8be3f-d251-4fcb-a324-2437a0016d6e,2164/706||2164/678||2164/670||2164/321,,
1a1e8476-4a58-43c2-9767-448f1f1c0522,2164/706||2164/678||2164/321,,
1a99c31e-17e6-476e-acef-45570d034fc7,2164/706||2164/678||2164/321,,
1b29fafc-5f91-424b-964d-faca425f202e,2164/706||2164/678||2164/321,,
1c133ea8-4b2b-4d31-a89b-6d3b33c850f3,2164/706||2164/678||2164/321,,
1cf2bdcc-33a4-4a4b-b16e-b3871a3d972b,2164/706||2164/678||2164/688||2164/321,,
1cfe8739-f19e-4557-a514-11f499af6616,2164/706||2164/678||2164/321,,
1e32b1df-824b-447b-ad85-d66cd1022eb6,2164/706||2164/678||2164/321,,
1ec30dc0-e3f9-407c-be6e-fa3df6013e34,2164/706||2164/678||2164/321,,
1ecc84b7-af33-4120-8887-1a496df89691,2164/706||2164/678||2164/321,,
1f06799a-b1ee-4eca-bdca-28128aa18d09,2164/706||2164/678||2164/321,,
1f584aac-f295-40f7-bef0-5121ab83f2aa,2164/706||2164/678||2164/321,,
1fd2c06f-7492-43a2-bc6d-2665e31a4f4d,2164/706||2164/678||2164/321,,
1fd9ed51-dc5b-404b-8f05-e49f802c2e06,2164/706||2164/678||2164/321,,
1fe4ca77-77ee-44ad-bb8a-ac80bd43299d,2164/706||2164/678||2164/321,,
211b8db7-5e85-407b-917f-f15bfa286b0a,2164/706||2164/678||2164/321,,
21394248-4bcd-4cde-aba6-93ec0f01d9f4,2164/706||2164/664||2164/678||2164/321,,
214b2302-1be3-48e0-afe4-5af88e978aef,2164/706||2164/678||2164/321,,
2197cc21-d321-467c-897a-d2ba7306dd9a,2164/706||2164/678||2164/321,,
221430d5-7e6a-4f86-8b95-21f93e8956de,2164/706||2164/678||2164/321,,
221cca28-4ce6-41f3-966a-96043262de2d,2164/706||2164/678||2164/321,,
2231dcea-142a-4c62-8466-2a1452cc4d4c,2164/706||2164/678||2164/321,,
2233e959-d851-4fe8-b8b7-7a7a607fdfd9,2164/706||2164/678||2164/321,,
22360eca-29b5-4e90-a44b-e6302b439642,2164/706||2164/678||2164/321,,
22500ba8-fed5-4f0a-bd80-2b44fa353ced,2164/706||2164/678||2164/321,,
22681f15-34fe-4a35-8b74-851180aa0a6e,2164/706||2164/678||2164/321,,
22d33ce8-d8d4-4e0e-8548-31eda887a270,2164/706||2164/678||2164/321,,
235d09ab-0aac-4ce1-b7d5-6b1ed4f9723d,2164/706||2164/678||2164/321,,
23d626f7-cbb3-4b3d-ab7d-aef436e709e9,2164/706||2164/672||2164/678||2164/321,,
24001b95-2d88-43ac-8537-3ffe8535cbd3,2164/706||2164/678||2164/321,,
240154c0-4eaa-4586-a324-63c5ef69eec8,2164/706||2164/678||2164/321,,
24183e70-6781-48d4-b8eb-4cdc2f38a85d,2164/706||2164/678||2164/321,,
24655bc9-ef9e-4cca-8953-f61cf6ad722f,2164/706||2164/635||2164/678||2164/321,,
2479c56d-37db-41fa-a7f0-a358875cfc61,2164/706||2164/678||2164/321,,
2495ee13-140f-4ff7-a5e9-531740708730,2164/706||2164/692||2164/672||2164/678||2164/321,,
257e18d4-8d44-4bf7-af08-f4ccc52a3632,2164/706||2164/678||2164/321,,
25857a81-b152-4997-afb6-9d68c242eba8,2164/706||2164/672||2164/678||2164/321,,
25872fe8-0899-429b-b084-c4aa8b734b92,2164/706||2164/678||2164/321,,
25918606-b755-49f0-bb8b-78809aadb5f2,2164/706||2164/678||2164/321,,
25bfa8a7-a658-471f-82a3-077c04898433,2164/706||2164/678||2164/321,,
26d32d39-4f4a-4efc-90af-fce8c0ec6463,2164/706||2164/678||2164/321,,
27953e07-54c9-46f7-a326-004a3fd8a097,2164/706||2164/678||2164/321,,
282efffd-1fa1-4cee-b146-307af3b0f955,2164/706||2164/678||2164/321,,
29832cf6-02c5-42ae-be16-d6a43d40748b,2164/706||2164/678||2164/321,,
29aad82b-dfa7-47d3-96f5-01395c4bb66d,2164/706||2164/678||2164/321,,
29b7bdfa-aa8e-43e9-ab2e-258496a2527c,2164/706||2164/678||2164/688||2164/321,,
29babf60-c4ba-46d6-9959-04759b7af014,2164/706||2164/678||2164/321,,
2a0e34a8-6539-4f40-b446-b2d9c812f181,2164/706||2164/678||2164/321,,
2a3b66a6-96d0-43f6-a081-49dd237c4906,2164/706||2164/678||2164/321,,
2a400ab3-9fb0-40f4-a3aa-c44f3581b278,2164/706||2164/678||2164/321,,
2a9d757a-973d-448e-8aca-9e4123206727,2164/706||2164/678||2164/321,,
2b006247-9eab-4aa5-b1ae-28bde67ebda2,2164/706||2164/672||2164/678||2164/321,,
2b11f828-18ef-4cdf-83e9-e55b4411c827,2164/706||2164/678||2164/321,,
2b239585-9385-4dd3-9059-39efdf5e11a5,2164/706||2164/678||2164/321,,
2c0d39de-2449-476e-99f4-8f19f3977137,2164/706||2164/678||2164/321,,
2cfbaa0a-93a5-436e-a636-430edfa5faad,2164/706||2164/678||2164/321,,
2d192950-2f0b-411f-b947-2815d4211bb7,2164/706||2164/678||2164/321,,
2dadd37e-183c-43aa-bc20-6ae711951b62,2164/706||2164/678||2164/321,,
2dd36f6c-084b-411a-8858-1ee6ebc13ae5,2164/706||2164/678||2164/321,,
2ed0b62b-fd3f-496a-b180-d211760054da,2164/706||2164/678||2164/321,,
2f19b6f0-9cff-4223-b4a1-4f3f4f78f8e5,2164/706||2164/678||2164/321,,
2f52b794-c5ba-4b53-a08c-557d312ea1e9,2164/706||2164/678||2164/321,,
2f8f3897-7e92-4c03-8808-542904772d0f,2164/706||2164/672||2164/678||2164/321,,
2f95149d-d11a-40c8-9ffc-7442cdf546ba,2164/706||2164/678||2164/321,,
2fb644dc-353d-4897-b550-3dc8b328ac4b,2164/706||2164/678||2164/321,,
2fc8d850-ef15-4906-b4f1-3808c9c21e8a,2164/706||2164/678||2164/321,,
30f3b486-2fa7-4927-8a2e-2fc4e20228b8,2164/706||2164/678||2164/321,,
3181757d-1c81-45b8-a3e0-20723bfc46b7,2164/706||2164/678||2164/321,,
3288c1fb-f290-47ea-8f14-7e3f3e87de53,2164/706||2164/678||2164/321,,
32dc831f-e64a-49f4-90b8-b68285eb4e50,2164/706||2164/678||2164/321,,
32fff758-82b8-4165-b901-9808c488782e,2164/706||2164/678||2164/321,,
336dc3bf-3840-4e61-a795-172ae3b3b846,2164/706||2164/678||2164/321,,
33c3438c-8269-4f30-95ea-311ae13e12ef,2164/706||2164/678||2164/321,,
33ce833c-fabf-4c2a-9776-dc0d46acd346,2164/706||2164/678||2164/321,,
344cbeea-2d26-430b-9991-744cc051d495,2164/706||2164/678||2164/321,,
34923304-eaaf-4de7-be94-b9dc93ee1206,2164/706||2164/678||2164/321,,
34e44249-6a95-41ad-b714-d3481b0dedc3,2164/706||2164/678||2164/321,,
351ba7a4-120c-40a5-a5f8-47233833faf1,2164/706||2164/678||2164/321,,
3542af2e-5823-412f-a517-8618d1603249,2164/706||2164/678||2164/321,,
356dad67-42ea-4a38-bf40-f5de840e86a8,2164/706||2164/678||2164/321,,
35767a99-3f83-40fa-9156-81de363381fc,2164/706||2164/678||2164/321,,
363852bf-fba4-47e2-a574-7b35437d76f8,2164/706||2164/678||2164/321,,
36757da8-e402-422c-8240-4f06ca6864aa,2164/706||2164/678||2164/321,,
36b4e80d-a6c2-40ff-872a-acecb84a49b5,2164/706||2164/678||2164/321,,
376c076a-9657-4615-aa0d-a925c818a186,2164/706||2164/674||2164/678||2164/321,,
38baf93f-5a89-4f68-8244-e660bc987ad0,2164/706||2164/678||2164/321,,
3a111a8a-932c-4cc8-9776-9f75daad7256,2164/706||2164/678||2164/321,,
3a3d392d-7063-464d-b44b-bc67d62dbb5c,2164/706||2164/678||2164/321,,
3a700958-0dad-4b21-a1c7-145126f23a71,2164/706||2164/678||2164/321,,
3a95cae6-0ff1-4d31-afaa-6126f984b918,2164/706||2164/678||2164/321,,
3b7e6ea7-d410-45ce-8e12-356a9da3f6ce,2164/706||2164/678||2164/321,,
3bb2a59e-f06c-4fe5-9fed-c936bc33fabf,2164/706||2164/678||2164/321,,
3c4418f9-7916-45d7-a360-7f808f5c5107,2164/706||2164/678||2164/321,,
3d49717c-7947-4507-b627-109bd4faa3b0,2164/706||2164/678||2164/321,,
3db59677-b2e9-4cfa-82b1-ae6cf2c3a40d,2164/706||2164/678||2164/321,,
3df832ed-447c-4963-8f12-04113b22036d,2164/706||2164/678||2164/321,,
3e086681-82f5-4ec4-bd75-07b7fe8e05d0,2164/706||2164/678||2164/321,,
3e1b3741-33d6-427e-ba27-2256b9c12210,2164/706||2164/678||2164/321,,
3e5754b2-3460-4d45-a9b2-cb69ca95131c,2164/706||2164/678||2164/321,,
3e786ee6-a9f1-473b-aff2-78b885891b27,2164/706||2164/678||2164/579||2164/321,,
3e9a147a-b016-43fc-8c6d-f5c71de13583,2164/706||2164/633||2164/678||2164/321,,
3f849765-4ca6-4fbd-9b2d-34819eaaa99d,2164/706||2164/678||2164/321,,
3fbafdbd-e7ec-4b0a-a00a-da6570130dda,2164/706||2164/678||2164/321,,
3ffb84e4-ab5e-496a-b1d1-ad39edb956c9,2164/706||2164/678||2164/321,,
40b13d9a-04fa-4d4d-ab1e-f0bd41d7a3bc,2164/706||2164/678||2164/321,,
41f9e086-823b-4fbf-8304-fff5659bbea3,2164/706||2164/678||2164/321,,
42237129-d3b5-4364-9a5d-99dafbcff808,2164/706||2164/678||2164/579||2164/321,,
42c3a4d8-9d9c-45c7-a896-4585eb5d9ecf,2164/706||2164/678||2164/321,,
42e3833f-0245-4cce-8a70-5895d5d0bae3,2164/706||2164/678||2164/321,,
4392bc41-14ae-408c-bf02-3eabc89bf1b4,2164/706||2164/678||2164/321,,
43e65c09-96de-4ecc-b9c3-879f7ace762f,2164/706||2164/678||2164/321,,
4429949e-ee08-4a3b-b926-41be5357e522,2164/706||2164/678||2164/321,,
44e9a53b-c80c-468d-bc6a-595e1c808284,2164/706||2164/678||2164/321,,
454167d3-40d5-4b8e-8190-c99dff73c387,2164/706||2164/678||2164/321,,
45af6c93-d219-445a-8519-605ccf8afea5,2164/706||2164/678||2164/321,,
4608fab1-d326-4e0d-b722-d6a413fad432,2164/706||2164/678||2164/321,,
461cb728-acc0-4341-89d7-fe846735043d,2164/706||2164/678||2164/321,,
462d31d6-ff9b-424d-9e4d-e4fbdc9dc076,2164/706||2164/678||2164/321,,
46ead3f6-94af-4dc9-8b0d-497836d3ecfd,2164/706||2164/678||2164/321,,
470925d8-5763-4420-8121-421cee56a33b,2164/706||2164/678||2164/321,,
4779206c-7305-4721-b406-20dacff9bafe,2164/706||2164/678||2164/321,,
479a020d-15ae-4b96-8bbf-9ee7095b87f1,2164/706||2164/678||2164/321,,
47bd6241-7494-4475-a13b-11f3a30cff99,2164/706||2164/678||2164/321,,
48984527-5f42-43da-b451-375683ffde17,2164/706||2164/678||2164/321,,
48c3c4d1-f6ad-49d8-b9d5-e8c02245e491,2164/706||2164/672||2164/678||2164/321,,
493a895c-a416-4b99-a25f-455db96012b1,2164/706||2164/678||2164/321,,
4949f7c3-bc17-4903-a8f3-59afadfbe034,2164/706||2164/678||2164/321,,
4a5a9741-ef5d-418c-a7a6-55a201cd0b45,2164/706||2164/678||2164/321,,
4a5d9bc3-1e35-4210-ac96-80ef77eaa2b7,2164/706||2164/678||2164/321,,
4a92359d-8159-41b6-b958-5b39f5c1c989,2164/706||2164/678||2164/321,,
4ca41277-886a-4456-9830-93d7de4eb19f,2164/706||2164/678||2164/321,,
4d18751a-a2d9-4c20-bdf8-92208c34556c,2164/706||2164/678||2164/321,,
4d1f718a-9f51-49c8-af24-ac1f13fe9391,2164/706||2164/678||2164/321,,
4da05c6c-256c-414e-8a08-0f850e792f0a,2164/706||2164/678||2164/321,,
4db825cb-c0af-4c19-bfa3-bd34d9b42a91,2164/706||2164/633||2164/678||2164/321,,
4dc52e48-421a-4079-a153-8a98a495385f,2164/706||2164/678||2164/321,,
4e02c5bc-03c8-40a0-bb27-afeb21755deb,2164/706||2164/678||2164/321,,
4e6a0497-1a47-4d1e-8af8-10a8feef3213,2164/706||2164/678||2164/321,,
4eb36166-3926-4891-ab6b-e8749bc4b06f,2164/706||2164/619||2164/678||2164/321,,
4eba4301-8aaf-4f27-ba92-56be87735a0d,2164/706||2164/678||2164/321,,
4ed17a8e-d6cd-4e9e-9ab9-16c51d21c4f6,2164/706||2164/619||2164/674||2164/678||2164/688||2164/321,,
4ee2bd99-0484-4ef4-a6b4-5c30701df4d6,2164/706||2164/678||2164/321,,
4ef18680-6ec3-4d7d-938d-8aa041bb8518,2164/706||2164/678||2164/321,,
4f306a20-d3e0-44ad-9f47-d989a36529bb,2164/706||2164/678||2164/321,,
4f368d44-5127-4d54-8362-39f70ed89bbb,2164/706||2164/678||2164/321,,
4fd55a7e-02fc-43a5-a10f-e44a5f45fa87,2164/706||2164/678||2164/321,,
5003f889-3884-4ff5-bf3e-12fae96111a8,2164/706||2164/678||2164/321,,
503d9c70-6b2b-43be-9beb-73c0ad6ea534,2164/706||2164/672||2164/678||2164/321,,
5066a203-525d-4750-b3ed-bc7019727d88,2164/706||2164/678||2164/321,,
50eaade8-16bf-452e-b8e9-26cb21276d08,2164/706||2164/678||2164/321,,
51401b21-4d0d-4249-bab2-c6d8be98a48f,2164/706||2164/678||2164/321,,
51d14aff-2ff4-4c1e-b5c7-249695e2bc90,2164/706||2164/678||2164/321,,
51f92956-4f10-49e1-a7de-bbe636db86e9,2164/706||2164/674||2164/678||2164/688||2164/321,,
5220da93-f92b-45f9-92d9-775c6aebe4dc,2164/706||2164/678||2164/321,,
